ship names,ship url,journey id,captains,place start,place end,intended ending place,journey type,sources
Coracao de Maria,https://portal.prizepapers.de/ship/prizepapers_ship_da112353-58ef-4cd7-96ac-e9ff9e14e231/1/-/,c0ee10b1-05b4-4c64-814e-d830bc5db790,"Antonio Francisco Carneiro, master of the Coracao de Maria in 1806",Veracruz (Mexico),Havana,,Journey,
Franklin,https://portal.prizepapers.de/ship/prizepapers_ship_995b4519-b465-4e89-bc1b-7750e9723251/1/-/,32104c91-4127-4c81-bd0a-0ff0cefc4c41,"James Forsyth, master of the Franklin in 1808",Martinique,Caribbean Sea,"New London, Connecticut",Journey interrupted by capture,
Harriot,https://portal.prizepapers.de/ship/prizepapers_ship_1aafdfe5-6630-46c7-a111-fc4a7561f8b1/1/-/,ca994519-21e0-4489-bf49-38e56d3e89fa,"Ebenezer Giles, master of the Harriot in 1808",Palma,Mediterranean Sea,Beverly,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/597fb4f2-1e0c-4f47-9bd6-e9508c7a3468', 'HCA 45/63/8']]"
Amphitrite,https://portal.prizepapers.de/ship/prizepapers_ship_c219f6bb-8b31-4e94-8fdd-37bf4d3008f1/1/-/,47fcbc48-5394-4344-9235-840c047e5a02,"Carl Frederick Warland, master of the Amphitrite brig in 1814",Saint Barthélemy,North Atlantic Ocean,"New Haven, Connecticut",Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/df8530b0-d7d4-4fe1-b706-0aa82a73e59e', 'HCA 45/69/32']]"
Merced,https://portal.prizepapers.de/ship/prizepapers_ship_86d42bf9-c1f1-4efa-a5ca-02f9ab9ff360/1/-/,5a762bfc-db92-4879-835b-ac308d1e12c3,"Juan de Echevarria, master of the Marced in 1810",Philadelphia,Santa Cruz de Tenerife,,Journey,
Nuestra Senora del Carmen,https://portal.prizepapers.de/ship/prizepapers_ship_f5b7d487-115d-4b0b-887f-8c6629a33e59/1/-/,b9e047fb-5fa2-42cb-8077-147ba4c278ab,"Augustin Matias Rey, master of the ""Nuestra Senora del Carmen"" in 1815",Charleston,North Atlantic Ocean,Cádiz,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/30124c47-f98b-45e5-baab-ed97f98d05f6', 'HCA 45/68/16']]"
Tyger,https://portal.prizepapers.de/ship/prizepapers_ship_fc4c7afe-b75c-41a7-a1fd-c797586559de/1/-/,61112038-0ed0-48cb-b324-1b21c8d13c90,"William Bartlett, master of the ""Tyger"" in 1812",North Atlantic Ocean,,,Journey interrupted by capture,
Tempochy,https://portal.prizepapers.de/ship/prizepapers_ship_348f7700-8bc7-4ace-8ac0-3105618a175b/1/-/,4698e6da-a40d-466b-84de-caaf040127dd,"Chua Tangsing, master of the Tempochy in 1810",Jakarta,Java Sea,Malacca,Journey interrupted by capture,[]
Kemingsing,https://portal.prizepapers.de/ship/prizepapers_ship_1f84eeae-f0b6-459e-81bd-0b110401df32/1/-/,f70f1634-bbe3-4f94-a640-20e1c8ceccb2,"Chuating Soy, master of the Kemingsing in 1810",Jakarta,Java Sea,Malacca,Journey interrupted by capture,[]
Kemtionsing,https://portal.prizepapers.de/ship/prizepapers_ship_f00a237d-e16d-4834-9921-4d1105f90ac4/1/-/,d95097c8-edfe-4282-a404-9a764281b392,"Gosodh, master of the Kemtionsing in 1810",Jakarta,Java Sea,Malacca,Journey interrupted by capture,[]
Massasoit,https://portal.prizepapers.de/ship/prizepapers_ship_9c6e90b6-a318-401d-b294-b9bb686e8320/1/-/,1709cfc4-a02a-4812-af98-51f9a00662c5,"Nathaniel Noyes, master of the ""Massasoit"" in 1813",Richmond (Virginia),Bermuda,Chebucto,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/f0619524-1866-47eb-a48b-8ead374700ad', 'HCA 45/68/28']]"
Montezuma,https://portal.prizepapers.de/ship/prizepapers_ship_8e533d4e-4714-431e-8cd0-f55308cdb46f/1/-/,ea6c29b6-bce1-40d3-8348-caf7c313db21,"Manuel Rodriguez, master of the ""Montezuma"" in 1813",Boston,North Atlantic Ocean,Cádiz,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/b86d7994-a896-476e-9e2f-8d04c95f88a7', 'HCA 45/68/3']]"
John and Henry,https://portal.prizepapers.de/ship/prizepapers_ship_978785ca-1258-4ff6-a70a-df527fce4688/1/-/,04062d03-dab3-4b39-af2c-cc05a2b0b027,"William Clarke Penniger, master of the ""John and Henry"" in 1803",Charleston,North Atlantic Ocean,Cap Français,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/c4899463-c6ac-4b22-8519-a4241989172a', 'HCA 45/58/23']]"
Herman,https://portal.prizepapers.de/ship/prizepapers_ship_4b9bc2cd-a4da-455e-9613-3d7a8ffaac43/1/-/,6c3308a4-05ab-415f-824d-d596c03fa4c7,"Charles Hayt, master of the ""Herman"" in 1805",Liverpool,North Atlantic Ocean,Palermo,Journey interrupted by capture,[]
Soltano,https://portal.prizepapers.de/ship/prizepapers_ship_39280b8d-016f-4f17-b9e1-7d0cc0318084/1/-/,cd0e4784-70f2-4284-8753-80622494bb02,"Demetrio Vedovitch, master of the ""Soltano"" in 1803",Genoa,North Atlantic Ocean,Civita Vecchia,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/94052972-4982-4a6c-9058-a5ca92ca7919', 'HCA 45/58/29']]"
Comet,https://portal.prizepapers.de/ship/prizepapers_ship_b60ece03-f5eb-4b62-aba8-aca694b3dfff/1/-/,1cf569d3-7752-4fda-afa6-2249240b6f1f,"Elisha Mix, master of the ""Comet"" in 1808",New York City,North Atlantic Ocean,Nantes,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/65a3d852-80c9-43dd-8545-d7439fe5621d', 'HCA 45/58/4']]"
Ann,https://portal.prizepapers.de/ship/prizepapers_ship_ff9c0ef1-63a9-4b09-81d7-7ef0412b5a28/1/-/,e9828320-cfe8-4dc6-95cd-49719984e326,"Peregine Howland, master of the ""Ann"" in 1808",Nantes,Bay of Biscay,Bordeaux,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/35edb8b8-d216-4840-846a-5a49edc74046', 'HCA 45/57/18']]"
Apollo,https://portal.prizepapers.de/ship/prizepapers_ship_0a220391-4430-43bb-ab79-180194e69219/1/-/,18c4052d-0e1c-4499-b3c2-afcfb11850bd,"Joseph Bounds, master of the Apollo in 1809",Tunis,Mediterranean Sea,Naples,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/1018e9ed-a086-46a2-93f7-954567405d5c', 'HCA 45/62/30']]"
Jenny,https://portal.prizepapers.de/ship/prizepapers_ship_cf03a39e-3379-43ac-821f-50ddbf9bac19/1/-/,3e6148d7-e590-48a5-9e81-2e2f4f263e86,"William Dorr the Younger, master of the Jenny in 1808",Boston,India,,Journey,
Maria,https://portal.prizepapers.de/ship/prizepapers_ship_1cdb0669-3963-4306-b79a-711fd3561c28/1/-/,868d8a07-5826-4a84-aafe-ea687b99dc33,"Suarez, master of the ""Maria"" in 1807",Cuba,Caribbean Sea,Cuba,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/604e3413-ce63-4bf6-93a1-139d7d859c53', 'HCA 45/58/41']]"
Triton,https://portal.prizepapers.de/ship/prizepapers_ship_a9a3fbd7-0a3d-4ee9-ba06-53a446c574ee/1/-/,c167eb9e-23f7-4203-924f-7271e35aeca4,"Gottfried Melm, master of the ship ""Triton"" 1799",Batavia,Atlantic Ocean,Bremen,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/faffd296-4bba-426d-a13f-c0f157d1678e', 'HCA 45/60/3']]"
Hazard,https://portal.prizepapers.de/ship/prizepapers_ship_a3d6a1ab-9a09-4c9a-8f41-84858cb9a839/1/-/,c3e0d1db-a04c-49ca-92c0-621ace7d8b17,"Benjamin Bullock, master of the ship ""Hazard"", 1805",Salem,Caribbean Sea,Curaçao,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/133557af-a37b-4e0b-95a5-81cdb10fb321', 'HCA 45/60/30']]"
Bulah Maria,https://portal.prizepapers.de/ship/prizepapers_ship_e5bc1e52-97b5-4517-9491-9448eaa91040/1/-/,6ad64588-38bf-4713-a942-a3fba0265040,"John Bell, master of the ship ""Bulah Maria brig"", 1805",New York City,Atlantic Ocean,Cabello,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/df4c75c4-5bfe-4347-8785-2f9c4029bf73', 'HCA 45/22/19']]"
Commerce,https://portal.prizepapers.de/ship/prizepapers_ship_7fd46044-71c8-4f66-98c8-b9b7cca33308/1/-/,ea11ca2f-9aa6-4c7a-833b-2226cb30483e,"Frederick Coellinck, master of the Commerce in 1813",New York City,North Atlantic Ocean,Dublin,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/e6e53f3d-c7fe-4201-ba8a-6b7895486508', 'HCA 45/70/5']]"
Favorite,https://portal.prizepapers.de/ship/prizepapers_ship_abd894a8-77fb-4d86-93eb-0e91a4201cd7/1/-/,a064edc3-cdaa-4543-803b-d5dcd84aac21,"Hezekiah Pinkham, master of the ship ""Favorite"" 1804",New York City,Atlantic Ocean,Curaçao,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/fbf10743-14c7-4bc5-aad6-842d682b97bb', 'HCA 45/60/36']]"
Lapwing,https://portal.prizepapers.de/ship/prizepapers_ship_bf86b5be-17f1-46c2-9bb1-4e21b0f02af2/1/-/,b58dadb7-0147-4d6f-a57f-4e63ec7bf45e,"Lemuel Bourne, master of the ship ""Lapwing""",New York City,Caribbean Sea,Curaçao,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/aada8df0-7019-4cb4-9cba-f070ac1724f2', 'HCA 45/60/39']]"
"Victoria|Lucy Maria (formerly English, Walter Dawes master)",https://portal.prizepapers.de/ship/prizepapers_ship_bf097e9d-4b6a-47a1-99f6-98f8dc16b089/1/-/,c83aa920-2a7a-4a7e-9fb6-fa80c87b0aa4,"Klaus Keuken, master of the ship ""Victoria"" 1806",Banda Aceh,Indian Ocean,Jakarta,Journey interrupted by capture,[]
Carlos,https://portal.prizepapers.de/ship/prizepapers_ship_e253cb7c-9953-409c-87c6-c97612359e89/1/-/,e5695538-6dbc-41dd-99eb-b80260288f87,"Santiago Caso Valdez, master of th Carlos in 1814",Bight of Bonny,North Atlantic Ocean,Havana,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/2838414d-1cc5-4995-bd48-39d6cd7b4e8e', 'HCA 45/70/12']]"
Commandant Von Scholten,https://portal.prizepapers.de/ship/prizepapers_ship_dc777b03-723d-41d2-a71a-61c0d44afc50/1/-/,c8db484e-def6-46db-8b4c-6e38821297ed,"Jelger Willems, master of the  Commandant Von Scholten in 1807",St Thomas,Caribbean Sea,Cádiz,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/75604240-1350-464e-8b8d-ecc83688b5b1', 'HCA 45/61/28']]"
Governor Kindelan,https://portal.prizepapers.de/ship/prizepapers_ship_1cb5e64d-7188-4419-99c9-c7527e6c0db8/1/-/,cc05f1f0-6a0f-4bd6-a684-10df9759d334,"Salvador Sabate, master of the Governor Kindelan in 1815",Amelia Island,North Atlantic Ocean,Liverpool,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/328a5039-ff86-4283-b175-bc219c27edfb', 'HCA 45/71/16']]"
Neptunus,https://portal.prizepapers.de/ship/prizepapers_ship_286e0f5b-84e5-481a-856d-87305b32f221/1/-/,022cc2a0-a2ed-42ef-8c4f-c9ee71ce9861,"Christian Magnus Dannberg, master of the ship 'Neptunus'",Cádiz,North Atlantic Ocean,Le Havre,Journey interrupted by capture,[]
"Madonna del Misericordia, otherwise Nuestra Senora del Misericordia",https://portal.prizepapers.de/ship/prizepapers_ship_c5a0aaff-435c-44da-b0bf-d58ec3302459/1/-/,f1ffaf54-1be9-41f5-be78-5c0304d02c29,"Vincenzo Pellerano of Genoa, master of the ship 'Madonna del Misericordia, otherwise Nuestra Senora del Misericordia'",Cádiz,North Atlantic Ocean,Montevideo,Journey interrupted by capture,[]
Eliza,https://portal.prizepapers.de/ship/prizepapers_ship_e948c0f9-2da2-4e69-b3cb-b78a9a264ffb/1/-/,761f0e16-d71c-4425-b30e-08560156be2d,"Edward Burrough, master of the ship 'Eliza', 1804",Cádiz,North Atlantic Ocean,New York City,Journey interrupted by capture,[]
Eliza,https://portal.prizepapers.de/ship/prizepapers_ship_e3ec633f-184a-45ee-a74a-c6fce83b5c0f/1/-/,5aed02ef-a36f-4248-a78f-2210f932c2e0,"Benjamn Driggs, master of the Eliza in 1814","Wilmington, Delaware",North Atlantic Ocean,Chebucto,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/0cc3f44c-3e67-418b-a5ce-d401d9daa442', 'HCA 45/70/17']]"
Friendship,https://portal.prizepapers.de/ship/prizepapers_ship_798b790f-f79f-4def-8749-0c3e951fc6c5/1/-/,2f3cd167-96ee-4c0c-be8c-2ea7182baddc,"Robert Butler, master of the ship 'Friendship', 1800",Cádiz,North Atlantic Ocean,Charleston,Journey interrupted by capture,
Argus,https://portal.prizepapers.de/ship/prizepapers_ship_4bc7dae0-8905-4451-9019-9ccd85e6569f/1/-/,0d494081-555b-4c5d-b778-3c3fb6e004eb,"Edward Chamberlayne, master of the ship 'Argus', 1805",Cádiz,North Atlantic Ocean,Norfolk (Virginia),Journey interrupted by capture,
Frau Maria,https://portal.prizepapers.de/ship/prizepapers_ship_1de8e878-cd29-4678-aee3-93354e8c4828/1/-/,158ba8a6-09ab-4b25-8502-11d0dbb2d94c,"Johann Carl Wothge, master of the Frau Maria in 1815",London,Fernandina,,Journey,
Baltic Trader,https://portal.prizepapers.de/ship/prizepapers_ship_09752b52-f3d9-463c-8bce-19a264ff0bf2/1/-/,02886215-63f1-4c9a-9e38-e5e12cfa6263,"Abner Snow, master of the Baltic Trader in 1814",Alexandria (North America),North Atlantic Ocean,Cádiz,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/ddb18f88-bcf7-4699-9aac-2155ba2102b1', 'HCA 45/71/27']]"
Dispatch,https://portal.prizepapers.de/ship/prizepapers_ship_8a7888e2-5d98-408c-b7c3-172397605617/1/-/,e93d679f-7bd0-4373-9952-e0e8d0e12d59,"Elijah Smith, master of the 'Dispatch' in 1805",Cádiz,North Atlantic Ocean,Tönning,Journey interrupted by capture,[]
Germania,https://portal.prizepapers.de/ship/prizepapers_ship_d10bc887-9df3-485c-b253-550a33e12417/1/-/,a8b0fa96-342d-4a00-b571-d6e26e9c1aa2,,Cádiz,North Atlantic Ocean,Tönning,Journey interrupted by capture,[]
Elizabeth and Mary,https://portal.prizepapers.de/ship/prizepapers_ship_cf0540d0-cdaf-41b4-a334-70e52c43a43e/1/-/,952f8f9c-13f6-42f3-a4ca-bb46f67198cc,"Peter Graff or George Thompson, master of the ship 'Elizabeth and Mary', 1804",London,North Atlantic Ocean,Saint Domingue,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/d3873551-14e4-41d0-b7a0-2b3690169250', 'HCA 45/58/33']]"
Frederick,https://portal.prizepapers.de/ship/prizepapers_ship_d20be0d4-f2ef-4fd1-9dc4-b91a6b0caf05/1/-/,25b42ef9-656f-4a98-b423-e04d1bb8a35b,"John Frederick Simon Meyer, master of the ship 'Frederick', 1804",London,North Atlantic Ocean,Saint Barthélemy,Journey interrupted by capture,[]
Ceres,https://portal.prizepapers.de/ship/prizepapers_ship_2da22099-96c8-4ae7-9121-7436e3520cf0/1/-/,393115a7-3635-42c1-8b12-e579b82a5ac9,"Daniel Sayward, master of the ship 'Ceres', 1804",Liverpool,North Atlantic Ocean,Havana,Journey interrupted by capture,[]
St Antonius,https://portal.prizepapers.de/ship/prizepapers_ship_ab07a992-4ac9-4808-83f7-1e1180e634fd/1/-/,16b52082-e51f-47ea-a9ae-7aeb273e9361,"Nanne Willems, master of the 'St Antonius' in 1807",Liverpool,The Channel,Rotterdam,Journey interrupted by capture,[]
Gute Erwartung,https://portal.prizepapers.de/ship/prizepapers_ship_bb524013-1f5b-48b2-8cb4-f2735771604b/1/-/,eadd359a-82c5-42cc-bb9a-ac5f339a8a7e,"Ulfert Douwes, master of the ship 'Gute Erwartung', 1797",Amsterdam,North Atlantic Ocean,Cádiz,Journey interrupted by capture,
Vrouw Debora,https://portal.prizepapers.de/ship/prizepapers_ship_0912fa0c-8f7d-4a26-af7c-0d54ef7e6024/1/-/,bd730e9b-3f78-431b-b128-e054efe1ed6a,"Willem van Luyk, master of the ship 'Vrouw Debora', 1804",Amsterdam,The Channel,London,Journey interrupted by capture,[]
Sally,https://portal.prizepapers.de/ship/prizepapers_ship_0bc93eb8-1024-4f8b-bcb9-ec1e590e13d1/1/-/,1bb5e5d5-2360-4d85-af2b-ca1cd9e85733,,Amsterdam,The Channel,Lisbon,Journey interrupted by capture,[]
Neptunus,https://portal.prizepapers.de/ship/prizepapers_ship_471f144e-9117-4af7-b84d-9a9847577956/1/-/,ca275741-e998-46d8-bc48-846056aaa037,,Amsterdam,The Channel,Lisbon,Journey interrupted by capture,[]
Principe Regente,https://portal.prizepapers.de/ship/prizepapers_ship_59e346e6-11af-4485-b44a-f5d5c3456868/1/-/,84dff584-a948-467e-a298-9f90fb43045d,"Eugeno Lourenco da Rocha, master of the 'Principe Regente' in 1807",Amsterdam,The Channel,Lisbon,Journey interrupted by capture,[]
Berkley,https://portal.prizepapers.de/ship/prizepapers_ship_a18973b4-bc40-42ca-9c79-8281ae754f5c/1/-/,29cd559d-0954-48b7-bf7e-16c43c505499,"Prince Snow, master of the ship 'Berkley', 1800",Amsterdam,North Atlantic Ocean,Boston,Journey interrupted by capture,[]
Fortuna,https://portal.prizepapers.de/ship/prizepapers_ship_4dbac4b9-0c3e-4fd2-a549-91093c31d60e/1/-/,0becc7ac-0911-45a5-a966-db96f2470cad,"Martin Buy, master of the ship 'Fortuna', 1798",Amsterdam,North Atlantic Ocean,Copenhagen,Journey interrupted by capture,[]
Stadt Copenhagen,https://portal.prizepapers.de/ship/prizepapers_ship_10bba37e-53c3-4d9d-b412-a5244dd7cc04/1/-/,353248c8-9e72-4e1a-8f62-8739248dac47,"Jan Berend Freekes, master of the 'Stadt Copenhagen' in 1799",Amsterdam,Great Yarmouth,Copenhagen,Journey interrupted by capture,[]
Unverhoft,https://portal.prizepapers.de/ship/prizepapers_ship_9d2f0380-f202-4dfa-aa20-92ceba8193e1/1/-/,3aaf2eda-ba86-4681-a624-d9d8a75ea489,"Gerrit Cornelis, master of the ship 'Unverhoft', 1799",Amsterdam,Plymouth,Copenhagen,Journey interrupted by capture,[]
Caroline,https://portal.prizepapers.de/ship/prizepapers_ship_4e62eccd-126c-410c-8766-758499cad869/1/-/,f5d6041f-52c5-4de9-b3fc-7f6acec9ffd3,"Thomas Muller, master of the Caroline in 1814",St Petersburg,Boston,,Journey,
Ottawa,https://portal.prizepapers.de/ship/prizepapers_ship_d0abfa32-ddb8-4c65-8a50-359cdd3ebda2/1/-/,8ad414c6-25c6-4994-9464-277577647a72,"James Simpson, master of the Ottawa in 1815",Liverpool,North Atlantic Ocean,Jamaica,Journey interrupted by capture,[]
Orlando,https://portal.prizepapers.de/ship/prizepapers_ship_fb3a8966-6da8-4b9a-b511-cb0bfc59caf2/1/-/,b7269ae6-a6ca-42d8-a3ff-c52fb7998024,"James Sandford, master of the ship 'Orlando', 1801",Amsterdam,Chebucto,New York City,Journey interrupted by capture,[]
America,https://portal.prizepapers.de/ship/prizepapers_ship_c66dc519-60a2-4988-962e-0ab07e447f61/1/-/,c4c70988-9902-478c-ad91-52a2f76093f6,"J D Burgher, master of the 'America' in 1799",Amsterdam,European North Sea,New York City,Journey interrupted by capture,[]
Vrouw Margaretha,https://portal.prizepapers.de/ship/prizepapers_ship_43cbbadf-354c-4eaf-bd05-ffdd4c6eeafc/1/-/,37b668ab-6900-4709-89e4-184549d806a8,"Matthias Fransen, master of the ship 'Vrouw Margaretha', 1796",Amsterdam,North Atlantic Ocean,St Thomas,Journey interrupted by capture,[]
New Mazagan,https://portal.prizepapers.de/ship/prizepapers_ship_22b9b66c-9c0a-44e1-95dd-f70f58775bed/1/-/,dbc39be5-032d-457b-80f7-9afecf50a61e,"Barend Holle, master of the ship 'New Mazagan', 1786",Amsterdam,North Atlantic Ocean,Civita Vecchia,Journey interrupted by capture,[]
Jonge Sybrandt,https://portal.prizepapers.de/ship/prizepapers_ship_5c75c413-471f-433a-9a18-108c99e9d391/1/-/,bce7b327-25e1-4485-8a0c-e0309a4e9f28,"Jasper Schmerkel, master of the ship 'Jonge Sybrandt', 1798",Amsterdam,North Atlantic Ocean,Civita Vecchia,Journey interrupted by capture,[]
Gerarda,https://portal.prizepapers.de/ship/prizepapers_ship_590925fe-9355-4e0e-b9f6-bcd1cbe46a55/1/-/,cb2d338c-943c-4457-8101-721b493610bb,"Johannes Watzes, master of the ship 'Gerarda', 1797",Amsterdam,North Atlantic Ocean,Seville,Journey interrupted by capture,[]
Oly Moolen,https://portal.prizepapers.de/ship/prizepapers_ship_464a6ff2-9cad-4347-b94b-9e2d92573447/1/-/,0ee8051c-ca39-498c-b58f-14479f432a6f,"Martin Bornholm, master of the ship 'Oly Moolen', 1798",Amsterdam,North Atlantic Ocean,Seville,Journey interrupted by capture,[]
Aurora,https://portal.prizepapers.de/ship/prizepapers_ship_802d4846-4606-4a1e-aaa3-4d834ace44ae/1/-/,440cdf06-3027-4f5c-b69e-fcc22ce00b39,"Joachim Brenmahl, master of the ship 'Aurora', 1797",Rotterdam,North Atlantic Ocean,Barcelona,Journey interrupted by capture,[]
Ceres,https://portal.prizepapers.de/ship/prizepapers_ship_f050e17d-ad41-4aa7-a976-03668686f34c/1/-/,ed19f582-770b-45e9-9370-55425ad590db,"Hendrik J Bentheim, master of the ship 'Ceres', 1798",Rotterdam,European North Sea,Emden,Journey interrupted by capture,[]
Ocean,https://portal.prizepapers.de/ship/prizepapers_ship_93da04fc-97cb-4f59-b430-0e59d1556bad/1/-/,01261169-8e85-47f5-8a34-9f7058a2f1f3,"James Parker, master of the ship 'Ocean', 1799",Rotterdam,North Atlantic Ocean,"Baltimore, Maryland",Journey interrupted by capture,[]
Ann,https://portal.prizepapers.de/ship/prizepapers_ship_83172d59-7349-4180-b707-5f27f4184eb5/1/-/,a4f7fac0-2490-48f3-ace2-410505319132,"Robert Lord, master of the 'Ann' in 1798",Rotterdam,Atlantic Ocean,Surinam,Journey interrupted by capture,[]
Reimsdyke,https://portal.prizepapers.de/ship/prizepapers_ship_fe79aa85-757e-4924-80b4-017e8b0f3e01/1/-/,d4da6245-7a77-4e26-b1e2-be817c3986db,"James McIver, master of the ship 'Reimsdyke', 1803",Rotterdam,Atlantic Ocean,Vilanova i la Geltrú,Journey interrupted by capture,[]
Vrouw Hermina,https://portal.prizepapers.de/ship/prizepapers_ship_de4e5cff-965f-4abc-a9ea-cb4fbd344832/1/-/,ab2d11f0-4e47-4a2d-812f-b9275f1d3222,"Hendrik Jans Jonker, master of the ship 'Vrouw Hermina', into",Rotterdam,Portsmouth,Alderney,Journey interrupted by capture,[]
Prinz Peter Von Holstein,https://portal.prizepapers.de/ship/prizepapers_ship_99b334df-ccfa-42e6-b246-a2b0e95d91d4/1/-/,4b3e4e4d-b7ac-47dc-a280-a8a75955ccb6,"Diederik Ruyter, master of the ship 'Prinz Peter Von Holstein', 1794",Bremen,London,Nantes,Journey interrupted by capture,[]
Resolution,https://portal.prizepapers.de/ship/prizepapers_ship_3762a392-e69c-4e24-b92b-0827eec7c47d/1/-/,9d168b1b-ee20-4dc5-97ad-2ecd95755658,"Reinherd Hendricks, master of the ship 'Resolution', 1797",Bremen,Atlantic Ocean,Málaga,Journey interrupted by capture,[]
General Wrangle,https://portal.prizepapers.de/ship/prizepapers_ship_34786c97-c5aa-4d35-b4d6-e8c61a0be3e9/1/-/,37dd6816-ff5d-4b43-8e2f-deee0a1e9b59,"Lars Dannberg, master of the 'General Wrangle' in 1797",Bremen,North Atlantic Ocean,Barcelona,Journey interrupted by capture,[]
Ceres,https://portal.prizepapers.de/ship/prizepapers_ship_309a3e0d-2c0c-42ad-996b-2bb5667d7fe1/1/-/,06dff537-5358-46df-aaad-bee72f31a3b9,"Henrick Mangels, master of the ship 'Ceres', 1801",Bremen,North Atlantic Ocean,"Aux Cayes, Saint Domingue",Journey interrupted by capture,[]
Drei Freunde otherwise Three Friends,https://portal.prizepapers.de/ship/prizepapers_ship_4dddca13-6e54-4338-8717-51f63ffdd9c5/1/-/,16429b81-fbf5-48f7-ba57-fdfb2b2eacd7,"John Frederick Frey, master of the 'Drei Freunde' in 1797",Bremen,North Atlantic Ocean,St Thomas,Journey interrupted by capture,[]
Voorsigtigheid,https://portal.prizepapers.de/ship/prizepapers_ship_4f04c48a-6043-4fa5-bfbd-08741cdb1d26/1/-/,9b64bd95-fbec-4ff6-b79c-421cbd2ac481,"Johan Casper Rowehl, master of the ship 'Voorsigtigheid', 1798",Bremen,Antigua,St Thomas,Journey interrupted by capture,[]
Orion,https://portal.prizepapers.de/ship/prizepapers_ship_55d51633-d3a0-4e67-a2fe-d8faf6ad93b6/1/-/,a626c20e-4041-4c0a-b77b-0c7ffc1fbfc4,"Dirck Christoffers, master of the 'Orion' in 1794",Bremen,North Sea,Le Havre,Journey interrupted by capture,[]
Haabet,https://portal.prizepapers.de/ship/prizepapers_ship_ce224b95-a3d6-428a-9e69-29c0c773e686/1/-/,fb220480-dc4b-4cc9-9f8c-49418420db82,"Jacob Nicolaii Vette, master of the ship 'Haabet', 1795",Altona,European North Sea,Cádiz,Journey interrupted by capture,[]
Nordische Lowe,https://portal.prizepapers.de/ship/prizepapers_ship_4a2e5a1c-00d4-41b1-a50d-06116df1a507/1/-/,cb16b2c9-c464-4bbc-a7ec-a46b31ada63b,"J J P Jantzen, master of the ship 'Nordische Lowe', 1799",Altona,North Atlantic Ocean,"Aux Cayes, Saint Domingue",Journey interrupted by capture,[]
Aurora,https://portal.prizepapers.de/ship/prizepapers_ship_7cd40b4d-64d8-4d1a-8901-e64b3ed0e019/1/-/,94ce7c18-221a-4573-8bef-657ee9a8cef3,"Soren Pedersen Hagedahl, master of the ship 'Aurora', 1797",Altona,Atlantic Ocean,St Thomas,Journey interrupted by capture,[]
Triton,https://portal.prizepapers.de/ship/prizepapers_ship_a1c1c2b9-8e3b-4d7f-9738-4423e7bd4a1f/1/-/,f78dfa6a-1987-4ece-9df4-ebb7873aaacf,"Peter Brunswick, master of the ship 'Triton', 1798",Altona,Antigua,Saint Barthélemy,Journey interrupted by capture,[]
Minerva,https://portal.prizepapers.de/ship/prizepapers_ship_447333e9-5ccc-4c9e-8a6b-adf35e8fd458/1/-/,3bacb05c-e5aa-4e6c-9cd9-c657e6013f22,"John Frederick Christopher Kramp, master of the ship 'Minerva', 1800",Hamburg,Atlantic Ocean,Port-au-Prince,Journey interrupted by capture,[]
